id,name,constituency,state,party,criminal_cases,total_assets,liabilities,source_url
idukki-adv-dean-kuriakose,Adv. Dean Kuriakose,Idukki,Kerala,INC,88,20797763,3619970,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2275
vadakara-shafi-parambil,Shafi Parambil,Vadakara,Kerala,INC,47,9934524,1500000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3121
malkajgiri-eatala-rajender,Eatala Rajender,Malkajgiri,Telangana,BJP,45,540178712,204157216,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5238
karimnagar-bandi-sanjay-kumar,Bandi Sanjay Kumar,Karimnagar,Telangana,BJP,42,11275000,1340000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5230
purnia-rajesh-ranjan-alias-pappu-yadav,Rajesh Ranjan Alias Pappu Yadav,Purnia,Bihar,IND,41,120884682,17236808,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2710
madha-mohite-patil-dhairyasheel-rajsinh,Mohite-Patil Dhairyasheel Rajsinh,Madha,Maharashtra,Nationalist Congress Party – Sharadchandra Pawar,36,489434188,205027212,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=4929
nagina-sc-chandrashekhar,Chandrashekhar,Nagina (SC),Uttar Pradesh,Aazad Samaj Party (Kanshi Ram),36,3986581,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=39
medak-madhavaneni-raghunandan-rao,Madhavaneni Raghunandan Rao,Medak,Telangana,BJP,29,220907289,121178789,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5239
bangaon-sc-shantanu-thakur,Shantanu Thakur,Bangaon (SC),West Bengal,BJP,23,33411607,17218000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7112
nizamabad-arvind-dharmapuri,Arvind Dharmapuri,Nizamabad,Telangana,BJP,22,1099020273,306681918,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5246
dhanbad-dulu-mahato,Dulu Mahato,Dhanbad,Jharkhand,BJP,22,70120183,7888835,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8469
rae-bareli-rahul-gandhi,Rahul Gandhi,Rae Bareli,Uttar Pradesh,INC,18,203961862,4979184,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7651
theni-thanga-tamilselvan,Thanga Tamilselvan,Theni,Tamil Nadu,DMK,17,49850594,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1225
balurghat-sukanta-majumdar,Sukanta Majumdar,Balurghat,West Bengal,BJP,16,12476825,1125114,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2211
aurangabad-abhay-kumar-sinha,Abhay Kumar Sinha,Aurangabad,Bihar,RJD,16,107718589,47801483,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1702
hindupur-b-k-parthasarathi,B K Parthasarathi,Hindupur,Andhra Pradesh,TDP,15,168959895,17890470,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5109
kannur-k-sudhakaran,K. Sudhakaran,Kannur,Kerala,INC,14,62979919,5933624,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2279
daman-diu-patel-umeshbhai-babubhai,Patel Umeshbhai Babubhai,Daman & Diu,Dadra and Nagar Haveli and Daman and Diu,IND,14,4752198,406981,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3667
attingal-adv-adoor-prakash,Adv Adoor Prakash,Attingal,Kerala,INC,13,180933863,36802602,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3084
akbarpur-devendra-singh-alias-bhole-singh,Devendra Singh Alias Bhole Singh,Akbarpur,Uttar Pradesh,BJP,13,47828524,9902495,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5083
khagaria-rajesh-verma,Rajesh Verma,Khagaria,Bihar,Lok Janshakti Party(Ram Vilas),12,53894412,40745130,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3633
khadoor-sahib-amritpal-singh,Amritpal Singh,Khadoor Sahib,Punjab,IND,12,1838440,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=9665
thiruvananthapuram-shashi-tharoor,Shashi Tharoor,Thiruvananthapuram,Kerala,INC,12,560656126,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=2313
nagpur-nitin-jairam-gadkari,Nitin Jairam Gadkari,Nagpur,Maharashtra,BJP,10,280317321,62230174,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=329
ernakulam-hibi-eden,Hibi Eden,Ernakulam,Kerala,INC,10,34000696,4454363,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3093
mayiladuthurai-sudha-r,Sudha R,Mayiladuthurai,Tamil Nadu,INC,10,3862830,0,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=1575
dindigul-sachithanantham-r,Sachithanantham R,Dindigul,Tamil Nadu,CPI(M),9,2597479,785694,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=834
kurukshetra-naveen-jindal,Naveen Jindal,Kurukshetra,Haryana,BJP,9,12414768000,73706000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8542
berhampur-dr-pradeep-kumar-panigrahy,Dr Pradeep Kumar Panigrahy,Berhampur,Odisha,BJP,9,37808128,38200000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=5309
sangli-vishal-dada-prakashbapu-patil,Vishal (Dada) Prakashbapu Patil,Sangli,Maharashtra,IND,9,299065726,82679549,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=3856
bansgaon-sc-kamlesh-paswan,Kamlesh Paswan,Bansgaon (SC),Uttar Pradesh,BJP,9,361830259,35283210,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8799
bargarh-pradeep-purohit,Pradeep Purohit,Bargarh,Odisha,BJP,8,22595410,676737,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=7148
godda-nishikant-dubey,Nishikant Dubey,Godda,Jharkhand,BJP,8,746974208,82800000,https://www.myneta.info/LokSabha2024/candidate.php?candidate_id=8770
